method,vector
|java+method:///smallsql/database/SSResultSet/getDouble(int)|,"[9,7,2,1,2,3]"
|java+method:///smallsql/database/MutableNumeric/floor()|,"[6,4,2,1,1,1]"
|java+method:///smallsql/database/SSPreparedStatement/clearParameters()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsCatalogsInTableDefinitions()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/getResult()|,"[6,4,2,1,0,2]"
|java+method:///smallsql/database/ExpressionFunctionAbs/getString()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getDriverName()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/BenchTest/test_InsertEmptyRows(java.sql.Connection)|,"[31,23,8,1,73,5]"
|java+method:///smallsql/database/FileIndexNode/loadRef(long)|,"[10,9,1,1,5,1]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getTablePrivileges(java.lang.String,java.lang.String,java.lang.String)|","[5,2,3,3,1,2]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getImportedKeys(java.lang.String,java.lang.String,java.lang.String)|","[3,2,1,3,0,1]"
|java+method:///smallsql/database/MemoryResult/relative(int)|,"[5,4,1,1,1,1]"
"|java+method:///smallsql/database/StoreImpl/scanObjectOffsets(int%5B%5D,int%5B%5D)|","[62,59,3,1,11,3]"
|java+method:///smallsql/database/SSResultSet/clearWarnings()|,"[3,1,2,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionConvert/getDouble()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SQLToken/getName(char%5B%5D)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/GroupResult/addInternalExpressionFromGroupBy(smallsql.database.Expression)|,"[17,9,8,1,2,3]"
|java+method:///smallsql/database/ViewResult/afterLast()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Index/add(smallsql.database.IndexNode,long,long,boolean,int)|","[32,21,11,5,2,8]"
"|java+method:///smallsql/database/Store/getString(int,int)|","[1,1,0,2,0,0]"
"|java+method:///smallsql/database/Store/getDouble(int,int)|","[1,1,0,2,0,0]"
|java+method:///smallsql/database/ExpressionFunctionFloor/getFunction()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/StoreImpl/readBinary()|,"[4,3,1,1,1,1]"
|java+method:///smallsql/junit/BenchTest/dropTestTable(java.sql.Connection)|,"[7,6,1,1,1,3]"
|java+method:///smallsql/database/CommandSelect/setHaving(smallsql.database.Expression)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/CreateFile/rollback()|,"[25,16,9,1,4,5]"
|java+method:///smallsql/junit/TestScrollable/testNextWithWhere()|,"[19,15,4,1,7,3]"
|java+method:///smallsql/database/SSResultSetMetaData/isNullable(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testMaxNumeric()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getSystemFunctions()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/setElseResult(smallsql.database.Expression)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/SSStatement/executeBatch()|,"[22,18,4,1,5,5]"
|java+method:///smallsql/database/Utils/getInteger(int)|,"[9,5,4,1,0,2]"
|java+method:///smallsql/database/ExpressionArithmetic/getLongImpl()|,"[13,11,2,1,0,2]"
|java+method:///smallsql/database/GroupResult/patchExpressions(smallsql.database.Expressions)|,"[10,4,6,1,0,2]"
|java+method:///smallsql/junit/AllTests/printRS(java.sql.ResultSet)|,"[8,5,3,1,0,3]"
"|java+method:///smallsql/database/IndexNode/saveRemainderValue(long,int)|","[6,4,2,2,2,2]"
|java+method:///smallsql/database/Expression/isCaseSensitive()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionConvert/getString()|,"[13,11,2,1,1,2]"
|java+method:///smallsql/database/ExpressionFunctionSoundex/getPrecision()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/DataSource/getBoolean(int)|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/StoreImpl/writeFinsh(smallsql.database.SSConnection)|,"[40,27,13,1,5,5]"
|java+method:///smallsql/database/ExpressionFunctionDifference/getInt()|,"[12,9,3,1,3,3]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxIndexLength()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionConvert/getInt()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSetMetaData/getColumnName(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ViewResult/rowInserted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableNumeric/compareTo(smallsql.database.MutableNumeric)|,"[4,2,2,1,0,1]"
|java+method:///smallsql/database/RowSource/execute()|,"[5,1,4,1,0,0]"
"|java+method:///smallsql/database/SQLParser/rowSource(smallsql.database.Command,smallsql.database.DataSources,int)|","[66,53,13,3,14,7]"
"|java+method:///smallsql/database/CommandDelete/executeImpl(smallsql.database.SSConnection,smallsql.database.SSStatement)|","[11,8,3,2,2,2]"
|java+method:///smallsql/database/ExpressionFunctionChar/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionYear/getInt()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/ExpressionFunctionInsert/getBytes()|,"[13,12,1,1,4,1]"
|java+method:///smallsql/database/SSResultSet/getMetaData()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOrderBy/testOrderBy_real()|,"[24,18,6,1,7,2]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsUnionAll()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/ExpressionValue/getDouble(java.lang.Object,int)|","[18,16,2,2,0,2]"
|java+method:///smallsql/database/ExpressionArithmetic/getLong()|,"[25,23,2,1,1,2]"
|java+method:///smallsql/database/MutableFloat/intValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Scrollable/next()|,"[13,10,3,1,2,3]"
"|java+method:///smallsql/database/StoreImpl/getBytes(int,int)|","[62,57,5,1,6,2]"
|java+method:///smallsql/database/SSStatement/getFetchSize()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/IndexNode/addRemainderKey(long,char%5B%5D,int)|","[4,3,1,3,1,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/nullsAreSortedAtStart()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreImpl/getString(int,int)|","[65,60,5,1,3,2]"
|java+method:///smallsql/junit/BenchTest/createTestDataWithClassicInsert(java.sql.Connection)|,"[12,8,4,1,3,3]"
|java+method:///smallsql/database/SSResultSet/getTimestamp(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getBoolean(java.lang.String)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreImpl/getDouble(int,int)|","[63,58,5,1,3,3]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getColumnPrivileges(java.lang.String,java.lang.String,java.lang.String,java.lang.String)|","[5,2,3,4,1,2]"
|java+method:///smallsql/database/MutableNumeric/sub(smallsql.database.MutableNumeric)|,"[13,7,6,1,0,3]"
|java+constructor:///smallsql/database/language/Language_it/Language_it()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/RowSource/relative(int)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Store/getBytes(int,int)|","[1,1,0,2,0,0]"
|java+method:///smallsql/database/SSStatement/getFetchDirection()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Columns/resize(int)|,"[5,4,1,1,2,1]"
"|java+method:///smallsql/junit/BasicTestCase/assertEqualsRsValue(java.lang.Object,java.lang.String)|","[10,6,4,2,3,1]"
|java+constructor:///smallsql/database/ExpressionValue/ExpressionValue(int)|,"[23,17,6,1,2,2]"
"|java+constructor:///smallsql/database/Table/Table(smallsql.database.Database,smallsql.database.SSConnection,java.lang.String,smallsql.database.Columns,smallsql.database.IndexDescriptions,smallsql.database.IndexDescriptions,smallsql.database.ForeignKeys)|","[22,15,7,7,6,4]"
"|java+method:///smallsql/database/SSPreparedStatement/setCharacterStream(int,java.io.Reader,int)|","[5,2,3,3,0,1]"
|java+method:///smallsql/database/TableViewResult/init(smallsql.database.SSConnection)|,"[16,7,9,1,3,2]"
|java+method:///smallsql/database/Expression/getParams()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionSign/getInt()|,"[37,35,2,1,4,2]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsExtendedSQLGrammar()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreNoCurrentRow/getNumeric(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnFloat/getBoolean()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateRef(int,java.sql.Ref)|","[4,1,3,2,0,1]"
|java+method:///smallsql/database/DateTime/getDataType()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/getObject()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/JoinScrollIndex/nextEquals()|,"[26,20,6,1,6,7]"
|java+constructor:///smallsql/database/Strings/Strings()|,"[3,2,1,1,1,1]"
|java+method:///smallsql/junit/TestGroupBy/testCountNoRow()|,"[10,7,3,1,3,1]"
|java+method:///smallsql/database/SSResultSetMetaData/isAutoIncrement(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/getResultSetHoldability()|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/UnionAll/rowDeleted()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/ExpressionFunctionConvert/ExpressionFunctionConvert(smallsql.database.Column,smallsql.database.Expression,smallsql.database.Expression)|","[6,5,1,3,4,3]"
|java+method:///smallsql/database/ExpressionFunctionReplace/getString()|,"[24,20,4,1,9,4]"
|java+method:///smallsql/database/TableView/close()|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getBlob(int)|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getValue(int)|,"[13,6,7,1,1,3]"
|java+constructor:///smallsql/junit/TestGroupBy/TestGroupBy(java.lang.String)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSConnection/createStatement(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/DateTime/valueOf(java.util.Date)|,"[12,11,1,1,3,1]"
|java+method:///smallsql/database/TableViewResult/insertRow(smallsql.database.Expression%5B%5D)|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/ExpressionFunctionLTrim/getBytes()|,"[13,11,2,1,5,2]"
|java+method:///smallsql/database/ExpressionName/getLong()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/TableView/findColumn(java.lang.String)|,"[10,5,5,1,1,2]"
|java+method:///smallsql/junit/TestStatement/testResultSetType()|,"[12,8,4,1,3,1]"
|java+method:///smallsql/database/ExpressionFunctionASin/getFunction()|,"[1,1,0,1,0,1]"
"|java+constructor:///smallsql/database/MemoryResult/MemoryResult(java.lang.Object%5B%5D%5B%5D,int)|","[26,17,9,2,6,6]"
|java+method:///smallsql/database/ExpressionFunctionTimestampAdd/getDataType()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableNumeric/add(smallsql.database.MutableNumeric)|,"[13,7,6,1,0,3]"
"|java+method:///smallsql/database/SSPreparedStatement/setTimestamp(int,java.sql.Timestamp,java.util.Calendar)|","[5,2,3,3,0,1]"
|java+method:///smallsql/database/ViewResult/nullRow()|,"[4,2,2,1,0,1]"
|java+method:///smallsql/database/Distinct/noRow()|,"[4,3,1,1,1,1]"
"|java+method:///smallsql/database/SSResultSet/updateTimestamp(int,java.sql.Timestamp)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SSStatement/setQueryTimeout(int)|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/SQLParser/singleSelect()|,"[72,52,20,1,13,10]"
|java+method:///smallsql/database/SSResultSetMetaData/isSignedDataType(int)|,"[16,14,2,1,0,2]"
|java+method:///smallsql/database/SSResultSet/isFirst()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestMoneyRounding/verify(int)|,"[23,20,3,1,10,4]"
|java+method:///smallsql/database/CommandSelect/setGroup(smallsql.database.Expressions)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/ExpressionFunctionRTrim/getString()|,"[9,7,2,1,2,2]"
|java+method:///smallsql/database/MemoryResult/getMoney(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionAbs/getInt()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Expression/clone()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnInt/getFloat()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Identity/getImmutableObject()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/get(int)|,"[9,3,6,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsPositionedDelete()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableNumeric/getScale()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ViewResult/getLong(int)|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/Lobs/Lobs(smallsql.database.Table)|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/DataSource/isNull(int)|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsUnion()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateArray(int,java.sql.Array)|","[4,1,3,2,0,1]"
"|java+method:///smallsql/database/Utils/createTableViewFileName(smallsql.database.Database,java.lang.String)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SSResultSet/getAsciiStream(int)|,"[4,1,3,1,0,1]"
|java+method:///smallsql/junit/TestDBMetaData/testGetURL()|,"[5,4,1,1,2,1]"
|java+method:///smallsql/database/SSResultSetMetaData/isWritable(int)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSConnection/prepareCall(java.lang.String,int,int,int)|","[4,2,2,4,0,1]"
|java+method:///smallsql/database/ExpressionValue/getLong()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/LongLongList/add(long,long)|","[9,7,2,2,3,2]"
"|java+method:///smallsql/database/SSResultSet/getObject(int,java.util.Map)|","[3,2,1,2,0,1]"
|java+method:///smallsql/junit/TestOther/testManyColumns()|,"[18,15,3,1,5,2]"
|java+method:///smallsql/database/Table/drop(smallsql.database.SSConnection)|,"[19,12,7,1,2,2]"
"|java+method:///smallsql/database/ExpressionValue/getFloat(java.lang.Object,int)|","[20,18,2,2,0,2]"
|java+method:///smallsql/database/ExpressionFunctionIIF/getObject()|,"[5,4,1,1,0,1]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getAttributes(java.lang.String,java.lang.String,java.lang.String,java.lang.String)|","[4,1,3,4,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1Number/getNumeric()|,"[19,17,2,1,1,2]"
|java+method:///smallsql/database/SSConnection/setHoldability(int)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/SSResultSet/isBeforeFirst()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionRound/getFunction()|,"[1,1,0,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/setLong(java.lang.String,long)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SSConnection/close()|,"[6,5,1,1,2,1]"
|java+method:///smallsql/database/MutableFloat/doubleValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/RowSource/getRowPosition()|,"[8,1,7,1,0,0]"
|java+method:///smallsql/database/ExpressionName/isNull()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreNoCurrentRow/getBytes(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/junit/TestOperatoren/suite()|,"[7,5,2,1,1,2]"
|java+method:///smallsql/database/SSCallableStatement/getLong(int)|,"[9,7,2,1,2,3]"
|java+method:///smallsql/database/SSDatabaseMetaData/usesLocalFilePerTable()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/Identity/Identity(java.nio.channels.FileChannel,long)|","[17,15,2,2,4,2]"
|java+method:///smallsql/database/SSResultSet/getDate(int)|,"[10,8,2,1,2,3]"
|java+method:///smallsql/database/StoreImpl/writeString(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/TableResult/setNextFilePos()|,"[21,12,9,1,3,3]"
"|java+constructor:///smallsql/database/View/View(smallsql.database.SSConnection,smallsql.database.CommandSelect)|","[9,5,4,2,2,1]"
|java+method:///smallsql/database/Identity/createNextValue(smallsql.database.SSConnection)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/checkStatement()|,"[5,3,2,1,0,2]"
|java+method:///smallsql/junit/TestGroupBy/testMaxTinyint()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/MutableDouble/longValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/setSavepoint(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/NoFromResult/last()|,"[4,3,1,1,1,1]"
"|java+method:///smallsql/database/SSResultSet/updateBytes(java.lang.String,byte%5B%5D)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionValue/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/isReadOnly()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/setObject(java.lang.String,java.lang.Object,int,int)|","[3,2,1,4,0,1]"
|java+method:///smallsql/database/LongTreeList/removeNode()|,"[16,6,10,1,3,1]"
"|java+method:///smallsql/junit/BasicTestCase/assertRSMetaData(java.sql.ResultSet,java.lang.String%5B%5D,int%5B%5D)|","[18,15,3,3,2,3]"
|java+method:///smallsql/database/ExpressionFunctionLTrim/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testMaxInt()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Where/rowDeleted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getConcurrency()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/ViewResult/ViewResult(smallsql.database.SSConnection,smallsql.database.CommandSelect)|","[14,7,7,2,3,3]"
|java+method:///smallsql/database/MemoryResult/getObject(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Where/isExpressionsFromThisRowSource(smallsql.database.Expressions)|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/SSStatement/getMaxRows()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Columns/copy()|,"[9,7,2,1,5,2]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1/getObject()|,"[46,44,2,1,1,2]"
|java+method:///smallsql/database/Utils/getShort(int)|,"[9,5,4,1,0,2]"
|java+method:///smallsql/database/CommandSelect/deleteRow(smallsql.database.SSConnection)|,"[15,13,2,1,1,4]"
|java+method:///smallsql/database/Identity/toString()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/junit/TestExceptionMethods/testGetConnection()|,"[22,15,7,1,8,3]"
|java+method:///smallsql/database/IndexDescriptions/size()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getClob(int)|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/MutableNumeric/mod(smallsql.database.MutableNumeric)|,"[7,5,2,1,4,1]"
|java+method:///smallsql/database/Expression/getFloat()|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/JoinScrollIndex/next()|,"[9,6,3,1,0,2]"
|java+method:///smallsql/database/SSDatabaseMetaData/usesLocalFiles()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionAscii/getInt()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/SSConnection/getTypeMap()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSDatabaseMetaData/supportsResultSetConcurrency(int,int)|","[6,5,1,2,2,1]"
|java+method:///smallsql/database/IndexNode/saveValue(long)|,"[19,9,10,1,4,4]"
|java+method:///smallsql/database/LongTreeList/save(smallsql.database.StoreImpl)|,"[8,3,5,1,0,1]"
|java+method:///smallsql/database/MutableNumeric/floatValue()|,"[22,16,6,1,2,7]"
|java+method:///smallsql/database/SSDatabaseMetaData/getUserName()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOther/testBinaryStore()|,"[28,22,6,1,5,3]"
|java+method:///smallsql/database/StoreNull/deleteRow(smallsql.database.SSConnection)|,"[7,4,3,1,0,2]"
"|java+method:///smallsql/database/Index/find(smallsql.database.IndexNode,long,int,java.util.ArrayList)|","[14,9,5,4,2,3]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxRowSize()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Where/isFirst()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/TableResult/getRow()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/junit/TestStatement/testMoreResults()|,"[35,28,7,1,6,3]"
